X,Y,Z,Red,Green,Blue,TreeType,RoadAttribute,Moisture,Roughness,Height,Slope
247492,172191,314,0,255,0,1,0,0.0823529,0.203922,314,0.524876
250732,168171,167,255,0,0,0,0,0.184314,0.254902,167,0.524876
261412,159531,210,255,0,0,0,0,0.0901961,0.262745,210,0.264353
262192,158511,31,0,255,0,1,0,0.0588235,0.27451,31,0.460703
262762,161241,444,255,0,0,0,0,0.117647,0.266667,444,0.524876
268432,172821,167,0,255,0,1,0,0.121569,0.203922,167,0.589049
245542,177681,1048,255,0,0,0,0,0.00392157,0.258824,1048,0.524876
249562,172341,1792,0,255,0,1,0,0.0588235,0.290196,1792,0.589049
267112,170841,168,255,0,0,0,0.00392157,0.0627451,0.176471,168,0.589049
267352,167571,169,0,255,0,1,0.00392157,0.00784314,0.262745,169,0.589049
257122,175131,1666,255,0,0,0,0.00392157,0.0627451,0.231373,1666,0.59288
258262,166941,1951,0,255,0,1,0,0.0470588,0.243137,1951,0.589049
266482,151881,115,255,0,0,0,0.345098,0.054902,0.254902,115,0.524876
241912,169821,367,0,255,0,1,0.419608,0.12549,0.278431,367,0.19635
242632,174441,185,255,0,0,0,0,0.0705882,0.266667,185,0.589049
245482,174441,748,255,0,0,0,0,0.0745098,0.27451,748,0.59288
247972,170691,280,0,255,0,1,0,0.0862745,0.270588,280,0.524876
251242,169041,170,255,0,0,0,0,0.0588235,0.27451,170,0.589049
254752,166491,640,0,255,0,1,0.341176,0.0588235,0.247059,640,0.392699
256972,172071,1042,0,255,0,1,0,0.0745098,0.243137,1042,0.392699
259312,161061,32,255,0,0,0,0.458824,0.117647,0.294118,32,0.392699
265792,154551,560,255,0,0,0,0,0.0627451,0.266667,560,0.589049
267472,167691,169,0,255,0,1,0.00392157,0.00784314,0.258824,169,0.589049
266932,165771,171,255,0,0,0,0,0.0431373,0.254902,171,0.589049
240292,172461,348,255,0,0,0,0.00392157,0.0588235,0.25098,348,0.528707
243742,176781,296,0,255,0,1,0.443137,0.0117647,0.243137,296,0.524876
245182,173001,705,0,255,0,1,0,0.0980392,0.258824,705,0.524876
257692,164181,353,0,255,0,1,0,0.0627451,0.262745,353,0.589049
258232,170241,1457,0,255,0,1,0.00392157,0.0588235,0.25098,1457,0.460703
262582,155211,145,255,0,0,0,0,0.0941176,0.266667,145,0.589049
263452,154101,282,0,255,0,1,0.00392157,0.054902,0.262745,282,0.392699
258442,162111,29,255,0,0,0,0.00392157,0.0705882,0.282353,29,0.589049
266662,167211,174,0,255,0,1,0.00392157,0.00784314,0.258824,174,0.589049
266692,167451,170,0,255,0,1,0.00392157,0.00784314,0.270588,170,0.589049
245722,173901,754,0,255,0,1,0,0.105882,0.282353,754,0.460703
251842,168681,178,0,255,0,1,0.00392157,0.0745098,0.270588,178,0.392699
270052,172941,52,0,255,0,1,0,0.0901961,0.254902,52,0.392699
250732,168201,167,255,0,0,0,0.00392157,0.188235,0.258824,167,0.392699
244312,168861,389,0,255,0,1,0,0.0666667,0.270588,389,0.589049
245752,173181,745,255,0,0,0,0.423529,0.0509804,0.262745,745,0.589049
266182,152721,111,0,255,0,1,0,0.643137,0.254902,111,0.392699
266092,163671,975,255,0,0,0,0,0.0588235,0.313725,975,0.460703
242752,176601,295,255,0,0,0,0.486275,0.00784314,0.239216,295,0.460703
244762,175971,300,255,0,0,0,0,0.109804,0.266667,300,0.589049
245872,167151,758,255,0,0,0,0,0.0509804,0.254902,758,0.328526
256612,163611,277,0,255,0,1,0.498039,0.0745098,0.266667,277,0.589049
257182,169221,1226,0,255,0,1,0.00392157,0.145098,0.278431,1226,0.59288
259252,161541,31,0,255,0,1,0.027451,0.0666667,0.298039,31,0.328526
267292,170961,165,255,0,0,0,0,0.0313725,0.215686,165,0.392699
258202,160311,32,255,0,0,0,0,0.0784314,0.286275,32,0.589049
