x,y,z,r,g,b
0,28900,0,255,0,0
500,28400,0,255,0,0
700,28300,0,255,0,0
800,28500,0,255,0,0
1000,27200,0,255,0,0
1000,28200,0,255,0,0
1200,25200,0,255,0,0
1200,28600,0,255,0,0
1400,27600,0,255,0,0
1600,28500,0,255,0,0
1800,26500,0,255,0,0
1900,24700,0,255,0,0
1900,26900,0,255,0,0
1900,29900,0,255,0,0
2000,26000,0,255,0,0
2000,27500,0,255,0,0
2300,25500,0,255,0,0
2300,26400,0,255,0,0
2300,29700,0,255,0,0
2300,29800,0,255,0,0
2400,24400,0,255,0,0
2400,24700,0,255,0,0
2500,28300,0,255,0,0
2500,28700,0,255,0,0
2500,29400,0,255,0,0
2600,23900,0,255,0,0
2600,25100,0,255,0,0
2600,26400,0,255,0,0
2600,28600,0,255,0,0
2700,24400,0,255,0,0
2800,23700,0,255,0,0
2900,28300,0,255,0,0
3000,25100,0,255,0,0
3000,25900,0,255,0,0
3100,25800,0,255,0,0
3100,26300,0,255,0,0
3100,28500,0,255,0,0
3100,29700,0,255,0,0
3200,23600,0,255,0,0
3400,25600,0,255,0,0
3400,28400,0,255,0,0
3600,25300,0,255,0,0
3600,26200,0,255,0,0
3600,26300,0,255,0,0
3600,28500,0,255,0,0
3700,25000,0,255,0,0
3700,25100,0,255,0,0
3700,29600,0,255,0,0
3800,22900,0,255,0,0
3800,23000,0,255,0,0
3900,24500,0,255,0,0
4000,26300,0,255,0,0
4100,22400,0,255,0,0
4100,28600,0,255,0,0
4200,26000,0,255,0,0
4300,22500,0,255,0,0
4300,22800,0,255,0,0
4300,24300,0,255,0,0
4300,27900,0,255,0,0
4300,28500,0,255,0,0
4400,22100,0,255,0,0
4400,23000,0,255,0,0
4500,26500,0,255,0,0
4500,27400,0,255,0,0
4600,28300,0,255,0,0
4700,22000,0,255,0,0
4700,26500,0,255,0,0
4800,27100,0,255,0,0
4900,23400,0,255,0,0
5000,22200,0,255,0,0
5000,27600,0,255,0,0
5000,29200,0,255,0,0
5100,23800,0,255,0,0
5100,24300,0,255,0,0
5100,27100,0,255,0,0
5200,24300,0,255,0,0
5300,22400,0,255,0,0
5300,27700,0,255,0,0
5300,29600,0,255,0,0
5400,24100,0,255,0,0
5400,25800,0,255,0,0
5500,25500,0,255,0,0
5500,26800,0,255,0,0
5500,27200,0,255,0,0
5600,22600,0,255,0,0
5600,29500,0,255,0,0
5700,24400,0,255,0,0
5700,24900,0,255,0,0
5700,27600,0,255,0,0
5900,27300,0,255,0,0
6000,24400,0,255,0,0
6000,25500,0,255,0,0
6100,29700,0,255,0,0
6300,25000,0,255,0,0
6400,22600,0,255,0,0
6400,27400,0,255,0,0
6500,29900,0,255,0,0
6700,25300,0,255,0,0
6800,27300,0,255,0,0
6900,22900,0,255,0,0
6900,23500,0,255,0,0
6900,24400,0,255,0,0
7000,22900,0,255,0,0
7000,28200,0,255,0,0
7000,28600,0,255,0,0
7100,29000,0,255,0,0
7100,29400,0,255,0,0
7200,27800,0,255,0,0
7300,24700,0,255,0,0
7300,25100,0,255,0,0
7400,27300,0,255,0,0
7400,29600,0,255,0,0
7500,22500,0,255,0,0
7500,23200,0,255,0,0
7600,23300,0,255,0,0
7700,27000,0,255,0,0
7700,29500,0,255,0,0
7800,24900,0,255,0,0
7900,23300,0,255,0,0
8100,27200,0,255,0,0
8200,26900,0,255,0,0
8400,29600,0,255,0,0
8600,20600,0,255,0,0
8600,23300,0,255,0,0
