x,y,z,r,g,b
1300,29300,0,0,128,0
1400,25300,0,0,128,0
1600,25600,0,0,128,0
1600,26600,0,0,128,0
1600,29200,0,0,128,0
1700,26900,0,0,128,0
1700,27000,0,0,128,0
1700,28500,0,0,128,0
1700,28600,0,0,128,0
1800,24800,0,0,128,0
1800,27800,0,0,128,0
1900,26300,0,0,128,0
2000,27700,0,0,128,0
2100,25500,0,0,128,0
2100,25600,0,0,128,0
2100,27600,0,0,128,0
2100,27700,0,0,128,0
2200,26400,0,0,128,0
2200,26500,0,0,128,0
2400,25500,0,0,128,0
2400,29500,0,0,128,0
2500,29300,0,0,128,0
2600,25000,0,0,128,0
2700,24600,0,0,128,0
2800,24700,0,0,128,0
3200,27400,0,0,128,0
3400,29200,0,0,128,0
3600,27500,0,0,128,0
4100,27400,0,0,128,0
4200,27500,0,0,128,0
4400,24200,0,0,128,0
4500,24200,0,0,128,0
4700,24800,0,0,128,0
5000,23600,0,0,128,0
5100,23600,0,0,128,0
5100,25900,0,0,128,0
5800,22900,0,0,128,0
6000,26300,0,0,128,0
6000,27300,0,0,128,0
6000,28100,0,0,128,0
6500,25800,0,0,128,0
6800,28400,0,0,128,0
6900,28000,0,0,128,0
7200,23000,0,0,128,0
7200,23100,0,0,128,0
7300,27900,0,0,128,0
7600,26700,0,0,128,0
7700,21500,0,0,128,0
7900,21100,0,0,128,0
7900,21900,0,0,128,0
8200,27000,0,0,128,0
8400,20600,0,0,128,0
8500,26700,0,0,128,0
8700,28300,0,0,128,0
8800,28800,0,0,128,0
9100,29000,0,0,128,0
9200,26200,0,0,128,0
9200,29100,0,0,128,0
9300,18900,0,0,128,0
9400,27100,0,0,128,0
9900,21400,0,0,128,0
10000,19100,0,0,128,0
10000,21700,0,0,128,0
10200,19200,0,0,128,0
10200,21200,0,0,128,0
10200,23000,0,0,128,0
10300,19300,0,0,128,0
10300,28700,0,0,128,0
10500,20100,0,0,128,0
10500,29100,0,0,128,0
10600,25900,0,0,128,0
10600,29100,0,0,128,0
10700,21000,0,0,128,0
10800,22200,0,0,128,0
10800,28700,0,0,128,0
10900,18900,0,0,128,0
10900,20300,0,0,128,0
10900,21100,0,0,128,0
10900,24000,0,0,128,0
11000,21200,0,0,128,0
11100,20400,0,0,128,0
11100,22700,0,0,128,0
11300,18700,0,0,128,0
11300,23600,0,0,128,0
11300,25700,0,0,128,0
11400,19100,0,0,128,0
11400,22900,0,0,128,0
11500,28500,0,0,128,0
11600,18500,0,0,128,0
11600,18700,0,0,128,0
11800,17700,0,0,128,0
11800,26400,0,0,128,0
11900,18300,0,0,128,0
11900,27900,0,0,128,0
12000,23100,0,0,128,0
12100,27300,0,0,128,0
12200,28500,0,0,128,0
12300,24100,0,0,128,0
12500,24600,0,0,128,0
12500,24700,0,0,128,0
12700,24900,0,0,128,0
12800,19100,0,0,128,0
12800,19600,0,0,128,0
12900,19700,0,0,128,0
12900,25400,0,0,128,0
12900,29000,0,0,128,0
13200,19300,0,0,128,0
13300,17900,0,0,128,0
13300,18500,0,0,128,0
13400,17400,0,0,128,0
13400,17800,0,0,128,0
13500,16900,0,0,128,0
13600,16200,0,0,128,0
13600,16400,0,0,128,0
13600,16500,0,0,128,0
13600,29100,0,0,128,0
13800,16200,0,0,128,0
14100,15900,0,0,128,0
14100,25600,0,0,128,0
14200,17400,0,0,128,0
14500,12700,0,0,128,0
14500,15600,0,0,128,0
14500,26400,0,0,128,0
14800,11800,0,0,128,0
14800,15100,0,0,128,0
15100,9000,0,0,128,0
15100,11600,0,0,128,0
15100,27100,0,0,128,0
15200,8700,0,0,128,0
15200,10200,0,0,128,0
15200,13100,0,0,128,0
15200,13200,0,0,128,0
15300,10600,0,0,128,0
15300,10900,0,0,128,0
15400,12000,0,0,128,0
15400,14100,0,0,128,0
15400,22600,0,0,128,0
15500,22600,0,0,128,0
15500,23700,0,0,128,0
15600,13500,0,0,128,0
15700,13500,0,0,128,0
15700,14200,0,0,128,0
15800,10800,0,0,128,0
16000,13300,0,0,128,0
16100,12800,0,0,128,0
16200,8500,0,0,128,0
16200,10900,0,0,128,0
16200,14600,0,0,128,0
16200,22800,0,0,128,0
16300,16200,0,0,128,0
16300,24000,0,0,128,0
16400,15700,0,0,128,0
16400,22500,0,0,128,0
16400,22900,0,0,128,0
16400,23200,0,0,128,0
16500,12900,0,0,128,0
16500,13100,0,0,128,0
16500,15700,0,0,128,0
16700,8700,0,0,128,0
16700,9000,0,0,128,0
16700,12800,0,0,128,0
16700,21600,0,0,128,0
16900,13100,0,0,128,0
16900,13300,0,0,128,0
16900,24400,0,0,128,0
17000,10900,0,0,128,0
17100,8000,0,0,128,0
17100,13700,0,0,128,0
17200,7500,0,0,128,0
17200,11000,0,0,128,0
17200,24500,0,0,128,0
17300,8200,0,0,128,0
17300,11300,0,0,128,0
17300,13200,0,0,128,0
17500,14000,0,0,128,0
17600,12300,0,0,128,0
17600,12400,0,0,128,0
17700,21200,0,0,128,0
17800,8700,0,0,128,0
17800,13300,0,0,128,0
17800,14000,0,0,128,0
17800,15100,0,0,128,0
17800,21300,0,0,128,0
17800,24700,0,0,128,0
17900,10800,0,0,128,0
