x,y,z,r,g,b
0,92,1902,255,0,0
0,158,3866,255,0,0
0,279,3908,255,0,0
0,303,3582,255,0,0
0,427,2916,255,0,0
0,478,5020,255,0,0
0,508,3962,255,0,0
1,201,3698,255,0,0
1,331,3463,255,0,0
2,280,3944,255,0,0
2,426,3090,255,0,0
3,365,2986,255,0,0
3,416,3166,255,0,0
3,533,4438,255,0,0
4,300,3730,255,0,0
6,112,2219,255,0,0
7,448,3333,255,0,0
8,56,1687,255,0,0
8,232,3726,255,0,0
8,336,3701,255,0,0
8,366,3151,255,0,0
9,30,1778,255,0,0
9,182,3670,255,0,0
9,454,3280,255,0,0
10,180,3772,255,0,0
10,185,3866,255,0,0
10,302,3527,255,0,0
10,415,3241,255,0,0
10,469,5134,255,0,0
11,25,352,255,0,0
11,231,3544,255,0,0
11,282,3605,255,0,0
11,365,3361,255,0,0
11,456,3275,255,0,0
11,460,3684,255,0,0
12,207,3734,255,0,0
12,282,3582,255,0,0
12,305,3627,255,0,0
12,534,4750,255,0,0
14,324,3583,255,0,0
14,341,3695,255,0,0
15,92,2239,255,0,0
15,132,2428,255,0,0
15,191,3728,255,0,0
15,356,3820,255,0,0
15,410,3062,255,0,0
16,47,1624,255,0,0
16,142,2290,255,0,0
16,209,3434,255,0,0
16,224,3471,255,0,0
16,304,2803,255,0,0
16,436,3065,255,0,0
17,90,2187,255,0,0
17,532,4856,255,0,0
18,244,3841,255,0,0
18,302,1686,255,0,0
18,443,3087,255,0,0
19,100,2239,255,0,0
19,162,3273,255,0,0
19,219,3429,255,0,0
19,259,4299,255,0,0
19,311,3190,255,0,0
19,404,3040,255,0,0
19,431,2068,255,0,0
19,551,4908,255,0,0
20,162,2670,255,0,0
20,203,3642,255,0,0
20,326,3753,255,0,0
20,387,3184,255,0,0
20,396,3486,255,0,0
20,444,3145,255,0,0
20,457,4525,255,0,0
21,38,202,255,0,0
21,171,3799,255,0,0
21,205,3543,255,0,0
21,269,2749,255,0,0
21,356,3858,255,0,0
21,444,3094,255,0,0
22,411,3010,255,0,0
23,249,3979,255,0,0
23,318,3863,255,0,0
23,587,4660,255,0,0
24,114,2483,255,0,0
24,194,3732,255,0,0
24,256,4084,255,0,0
25,161,1650,255,0,0
25,195,3694,255,0,0
25,324,3862,255,0,0
25,336,3868,255,0,0
25,343,3802,255,0,0
25,361,3724,255,0,0
25,432,3138,255,0,0
25,543,4169,255,0,0
25,550,4808,255,0,0
25,582,4618,255,0,0
26,266,2672,255,0,0
26,326,3812,255,0,0
27,31,398,255,0,0
27,214,3196,255,0,0
27,228,3339,255,0,0
27,263,4121,255,0,0
28,174,3450,255,0,0
28,443,1789,255,0,0
29,52,1646,255,0,0
29,334,3825,255,0,0
29,362,3486,255,0,0
29,461,4226,255,0,0
29,556,4838,255,0,0
29,595,4546,255,0,0
30,333,3815,255,0,0
30,362,3394,255,0,0
30,368,3637,255,0,0
30,526,4794,255,0,0
31,243,3522,255,0,0
31,375,3571,255,0,0
31,548,4909,255,0,0
31,584,4684,255,0,0
31,586,4625,255,0,0
32,326,3730,255,0,0
32,384,3269,255,0,0
32,471,4951,255,0,0
33,100,750,255,0,0
33,187,3639,255,0,0
33,239,2913,255,0,0
33,521,4949,255,0,0
33,541,4791,255,0,0
34,147,2296,255,0,0
34,189,3526,255,0,0
34,215,3227,255,0,0
34,346,3347,255,0,0
34,452,3409,255,0,0
35,141,2243,255,0,0
35,205,3049,255,0,0
35,390,3236,255,0,0
35,532,4853,255,0,0
36,48,1640,255,0,0
36,127,2163,255,0,0
36,189,3472,255,0,0
36,360,3311,255,0,0
36,535,4777,255,0,0
37,33,1366,255,0,0
37,120,2103,255,0,0
37,154,2438,255,0,0
37,320,3463,255,0,0
37,321,3513,255,0,0
37,374,3831,255,0,0
37,465,4878,255,0,0
37,559,4883,255,0,0
38,27,1300,255,0,0
38,42,1653,255,0,0
38,513,4850,255,0,0
