x,y,z,r,g,b
3,279,3991,0,128,0
3,280,3923,0,128,0
11,414,3189,0,128,0
13,413,3147,0,128,0
14,35,1678,0,128,0
14,190,3735,0,128,0
14,361,3649,0,128,0
14,433,3025,0,128,0
14,467,5085,0,128,0
15,324,3635,0,128,0
15,355,3820,0,128,0
15,400,3130,0,128,0
16,176,4026,0,128,0
16,359,3702,0,128,0
17,107,2318,0,128,0
17,176,4042,0,128,0
17,193,3697,0,128,0
17,214,3423,0,128,0
17,258,4280,0,128,0
17,316,3638,0,128,0
17,348,3996,0,128,0
18,107,2206,0,128,0
19,205,3620,0,128,0
19,530,4864,0,128,0
20,219,3417,0,128,0
20,281,2745,0,128,0
22,161,2588,0,128,0
22,207,3487,0,128,0
22,357,3833,0,128,0
22,443,3096,0,128,0
23,251,3996,0,128,0
23,442,3077,0,128,0
24,244,3888,0,128,0
24,260,4129,0,128,0
24,346,3733,0,128,0
25,258,4140,0,128,0
25,332,3814,0,128,0
25,333,3806,0,128,0
25,335,3898,0,128,0
25,540,4017,0,128,0
27,221,3301,0,128,0
27,226,3308,0,128,0
28,381,3303,0,128,0
29,363,3496,0,128,0
31,363,3355,0,128,0
32,116,2201,0,128,0
32,189,3656,0,128,0
32,342,3584,0,128,0
32,382,3332,0,128,0
32,530,4937,0,128,0
32,544,4833,0,128,0
32,547,4900,0,128,0
32,555,4866,0,128,0
32,584,4646,0,128,0
32,585,4645,0,128,0
33,180,3539,0,128,0
33,189,3549,0,128,0
33,190,3553,0,128,0
33,451,3420,0,128,0
33,469,4937,0,128,0
33,530,5006,0,128,0
35,140,2298,0,128,0
35,467,4858,0,128,0
36,119,2064,0,128,0
36,128,2197,0,128,0
36,215,3191,0,128,0
36,370,3545,0,128,0
36,566,4810,0,128,0
37,180,3601,0,128,0
37,349,3165,0,128,0
37,371,3627,0,128,0
38,156,2441,0,128,0
38,216,3123,0,128,0
38,301,2580,0,128,0
38,359,3247,0,128,0
38,550,4793,0,128,0
39,39,1690,0,128,0
39,143,2318,0,128,0
39,211,3124,0,128,0
40,126,2127,0,128,0
40,165,2444,0,128,0
40,296,2507,0,128,0
41,165,2441,0,128,0
42,108,1729,0,128,0
43,563,4772,0,128,0
43,569,4749,0,128,0
44,141,2336,0,128,0
44,220,2890,0,128,0
46,214,2920,0,128,0
46,526,5298,0,128,0
46,565,4762,0,128,0
47,191,3264,0,128,0
47,227,2643,0,128,0
47,539,4786,0,128,0
48,152,2378,0,128,0
49,130,2115,0,128,0
49,377,3382,0,128,0
50,181,3140,0,128,0
50,346,2753,0,128,0
50,363,3336,0,128,0
51,346,2748,0,128,0
51,521,5101,0,128,0
53,124,1942,0,128,0
53,342,2659,0,128,0
53,468,4754,0,128,0
54,107,2068,0,128,0
54,191,3344,0,128,0
54,218,2856,0,128,0
54,341,2753,0,128,0
54,468,4657,0,128,0
55,101,1942,0,128,0
55,191,3364,0,128,0
55,220,2992,0,128,0
55,446,3927,0,128,0
56,449,3990,0,128,0
57,86,1897,0,128,0
57,87,1888,0,128,0
57,109,1994,0,128,0
57,154,2287,0,128,0
57,165,2252,0,128,0
58,166,2291,0,128,0
58,199,3319,0,128,0
58,208,3220,0,128,0
58,231,2653,0,128,0
59,168,2381,0,128,0
59,199,3368,0,128,0
59,289,2484,0,128,0
59,533,4992,0,128,0
60,33,1685,0,128,0
60,199,3362,0,128,0
62,40,1671,0,128,0
62,107,1967,0,128,0
62,176,2342,0,128,0
63,148,2147,0,128,0
64,513,4899,0,128,0
