x,y,z,r,g,b
0,28900,46,255,0,0
500,28400,26,255,0,0
700,28300,21,255,0,0
800,28500,40,255,0,0
1000,27200,12,255,0,0
1000,28200,24,255,0,0
1200,25200,0,255,0,0
1200,28600,45,255,0,0
1400,27600,27,255,0,0
1600,28500,46,255,0,0
1800,26500,14,255,0,0
1900,24700,0,255,0,0
1900,26900,20,255,0,0
1900,29900,80,255,0,0
2000,26000,10,255,0,0
2000,27500,28,255,0,0
2300,25500,6,255,0,0
2300,26400,16,255,0,0
2300,29700,76,255,0,0
2300,29800,78,255,0,0
2400,24400,9,255,0,0
2400,24700,10,255,0,0
2500,28300,56,255,0,0
2500,28700,70,255,0,0
2500,29400,76,255,0,0
2600,23900,0,255,0,0
2600,25100,8,255,0,0
2600,26400,16,255,0,0
2600,28600,69,255,0,0
2700,24400,17,255,0,0
2800,23700,1,255,0,0
2900,28300,56,255,0,0
3000,25100,19,255,0,0
3000,25900,31,255,0,0
3100,25800,41,255,0,0
3100,26300,16,255,0,0
3100,28500,69,255,0,0
3100,29700,107,255,0,0
3200,23600,13,255,0,0
3400,25600,42,255,0,0
3400,28400,64,255,0,0
3600,25300,47,255,0,0
3600,26200,39,255,0,0
3600,26300,28,255,0,0
3600,28500,70,255,0,0
3700,25000,50,255,0,0
3700,25100,50,255,0,0
3700,29600,121,255,0,0
3800,22900,18,255,0,0
3800,23000,21,255,0,0
3900,24500,55,255,0,0
4000,26300,38,255,0,0
4100,22400,18,255,0,0
4100,28600,68,255,0,0
4200,26000,75,255,0,0
4300,22500,19,255,0,0
4300,22800,22,255,0,0
4300,24300,56,255,0,0
4300,27900,47,255,0,0
4300,28500,59,255,0,0
4400,22100,15,255,0,0
4400,23000,25,255,0,0
4500,26500,37,255,0,0
4500,27400,36,255,0,0
4600,28300,56,255,0,0
4700,22000,2,255,0,0
4700,26500,56,255,0,0
4800,27100,36,255,0,0
4900,23400,30,255,0,0
5000,22200,14,255,0,0
5000,27600,53,255,0,0
5000,29200,109,255,0,0
5100,23800,31,255,0,0
5100,24300,47,255,0,0
5100,27100,56,255,0,0
5200,24300,45,255,0,0
5300,22400,7,255,0,0
5300,27700,88,255,0,0
5300,29600,107,255,0,0
5400,24100,31,255,0,0
5400,25800,86,255,0,0
5500,25500,82,255,0,0
5500,26800,107,255,0,0
5500,27200,105,255,0,0
5600,22600,5,255,0,0
5600,29500,152,255,0,0
5700,24400,39,255,0,0
5700,24900,80,255,0,0
5700,27600,143,255,0,0
5900,27300,143,255,0,0
6000,24400,49,255,0,0
6000,25500,122,255,0,0
6100,29700,170,255,0,0
6300,25000,125,255,0,0
6400,22600,1,255,0,0
6400,27400,141,255,0,0
6500,29900,170,255,0,0
6700,25300,126,255,0,0
6800,27300,145,255,0,0
6900,22900,3,255,0,0
6900,23500,25,255,0,0
6900,24400,148,255,0,0
7000,22900,3,255,0,0
7000,28200,185,255,0,0
7000,28600,183,255,0,0
7100,29000,180,255,0,0
7100,29400,169,255,0,0
7200,27800,181,255,0,0
7300,24700,148,255,0,0
7300,25100,128,255,0,0
7400,27300,151,255,0,0
7400,29600,165,255,0,0
7500,22500,0,255,0,0
7500,23200,9,255,0,0
7600,23300,11,255,0,0
7700,27000,151,255,0,0
7700,29500,183,255,0,0
7800,24900,147,255,0,0
7900,23300,12,255,0,0
8100,27200,166,255,0,0
8200,26900,163,255,0,0
8400,29600,193,255,0,0
8600,20600,2,255,0,0
8600,23300,11,255,0,0
8700,27800,199,255,0,0
8700,29600,197,255,0,0
8900,23000,9,255,0,0
8900,26100,186,255,0,0
8900,28400,216,255,0,0
9000,21700,9,255,0,0
9000,22300,13,255,0,0
9000,29100,216,255,0,0
9100,21700,16,255,0,0
9100,22100,21,255,0,0
9100,22700,19,255,0,0
9100,26100,201,255,0,0
9100,27700,189,255,0,0
9200,21400,16,255,0,0
9200,23300,24,255,0,0
9300,21000,18,255,0,0
9400,25000,213,255,0,0
9400,29400,211,255,0,0
9500,18100,6,255,0,0
9500,27200,192,255,0,0
9500,27900,205,255,0,0
9600,23100,46,255,0,0
9700,20500,23,255,0,0
9700,23900,79,255,0,0
9800,23600,66,255,0,0
9800,27500,192,255,0,0
9800,29600,213,255,0,0
10000,18900,1,255,0,0
10000,24000,85,255,0,0
10000,24900,207,255,0,0
10000,26600,198,255,0,0
10100,22500,53,255,0,0
10200,22900,56,255,0,0
10200,27500,193,255,0,0
10200,27600,192,255,0,0
10400,18200,2,255,0,0
10400,25100,218,255,0,0
10500,18800,2,255,0,0
10500,20400,2,255,0,0
10500,27700,192,255,0,0
10600,17500,0,255,0,0
10700,17800,0,255,0,0
10700,18100,2,255,0,0
10700,28700,248,255,0,0
10800,18600,2,255,0,0
10800,20400,3,255,0,0
10800,29200,248,255,0,0
10900,26700,202,255,0,0
11100,18600,1,255,0,0
11100,21300,25,255,0,0
11100,27600,204,255,0,0
11100,27800,206,255,0,0
11200,18400,3,255,0,0
11200,20400,2,255,0,0
11200,22100,44,255,0,0
11200,27400,206,255,0,0
11300,27300,205,255,0,0
11400,27700,226,255,0,0
11500,21000,23,255,0,0
11500,26700,259,255,0,0
11600,20500,1,255,0,0
11600,21400,38,255,0,0
11600,26400,259,255,0,0
11600,27100,247,255,0,0
11600,27600,240,255,0,0
11700,25300,223,255,0,0
11800,20900,21,255,0,0
11900,18800,0,255,0,0
11900,20400,0,255,0,0
11900,26300,257,255,0,0
11900,27100,266,255,0,0
12000,21500,53,255,0,0
12100,19200,3,255,0,0
12100,19500,1,255,0,0
12100,24600,86,255,0,0
12200,19700,7,255,0,0
12200,21800,55,255,0,0
12300,18900,23,255,0,0
