x,y,z,r,g,b
1300,29300,74,0,128,0
1400,25300,1,0,128,0
1600,25600,2,0,128,0
1600,26600,14,0,128,0
1600,29200,67,0,128,0
1700,26900,20,0,128,0
1700,27000,21,0,128,0
1700,28500,47,0,128,0
1700,28600,49,0,128,0
1800,24800,0,0,128,0
1800,27800,32,0,128,0
1900,26300,13,0,128,0
2000,27700,31,0,128,0
2100,25500,4,0,128,0
2100,25600,5,0,128,0
2100,27600,30,0,128,0
2100,27700,32,0,128,0
2200,26400,16,0,128,0
2200,26500,17,0,128,0
2400,25500,7,0,128,0
2400,29500,75,0,128,0
2500,29300,76,0,128,0
2600,25000,8,0,128,0
2700,24600,16,0,128,0
2800,24700,16,0,128,0
3200,27400,32,0,128,0
3400,29200,103,0,128,0
3600,27500,33,0,128,0
4100,27400,35,0,128,0
4200,27500,37,0,128,0
4400,24200,51,0,128,0
4500,24200,51,0,128,0
4700,24800,75,0,128,0
5000,23600,31,0,128,0
5100,23600,30,0,128,0
5100,25900,83,0,128,0
5800,22900,14,0,128,0
6000,26300,121,0,128,0
6000,27300,145,0,128,0
6000,28100,155,0,128,0
6500,25800,122,0,128,0
6800,28400,174,0,128,0
6900,28000,181,0,128,0
7200,23000,5,0,128,0
7200,23100,8,0,128,0
7300,27900,185,0,128,0
7600,26700,150,0,128,0
7700,21500,0,0,128,0
7900,21100,0,0,128,0
7900,21900,0,0,128,0
8200,27000,164,0,128,0
8400,20600,0,0,128,0
8500,26700,172,0,128,0
8700,28300,214,0,128,0
8800,28800,216,0,128,0
9100,29000,216,0,128,0
9200,26200,200,0,128,0
9200,29100,216,0,128,0
9300,18900,1,0,128,0
9400,27100,192,0,128,0
9900,21400,27,0,128,0
10000,19100,0,0,128,0
10000,21700,31,0,128,0
10200,19200,0,0,128,0
10200,21200,25,0,128,0
10200,23000,57,0,128,0
10300,19300,0,0,128,0
10300,28700,244,0,128,0
10500,20100,0,0,128,0
10500,29100,249,0,128,0
10600,25900,236,0,128,0
10600,29100,250,0,128,0
10700,21000,21,0,128,0
10800,22200,45,0,128,0
10800,28700,249,0,128,0
10900,18900,0,0,128,0
10900,20300,1,0,128,0
10900,21100,24,0,128,0
10900,24000,86,0,128,0
11000,21200,25,0,128,0
11100,20400,3,0,128,0
11100,22700,53,0,128,0
11300,18700,0,0,128,0
11300,23600,90,0,128,0
11300,25700,249,0,128,0
11400,19100,0,0,128,0
11400,22900,56,0,128,0
11500,28500,255,0,128,0
11600,18500,0,0,128,0
11600,18700,0,0,128,0
11800,17700,0,0,128,0
11800,26400,259,0,128,0
11900,18300,0,0,128,0
11900,27900,253,0,128,0
12000,23100,63,0,128,0
12100,27300,267,0,128,0
12200,28500,261,0,128,0
