Name,Type
Sunfire,Desert
Silver Basin,Dry
Frostmere,Frozen
Greenwood,Humid
Azure Depths,Ocean
Highgarden,Temperate
Icebound,Tundra
Redridge,Dry
Whisperwind,Humid
Stormtide,Ocean
Dustreach,Desert
Crystal Hollow,Frozen
Springvale,Temperate
Coldspire,Tundra
Sunset Dunes,Desert
Stonewatch,Dry
Mistwood,Humid
Deepwell,Ocean
Snowfield,Frozen
Emberfall,Temperate
Whitehold,Tundra
Sandstone,Desert
Ironfield,Dry
Verdant,Humid
Wavecrest,Ocean
Icewrack,Frozen
Summergrove,Temperate
Northwind,Tundra
Goldshore,Desert
Cinder Flats,Dry
Marshsong,Humid
Stormpeak,Frozen
Greendale,Temperate
Frostgate,Tundra
Aridwind,Desert
Burning Plains,Dry
Rainvale,Humid
Icefall,Frozen
Bluewater,Ocean
Meadowbrook,Temperate
Snowdrift,Tundra
Sunspire,Desert
Ashland,Dry
River's Edge,Humid
Glacierwood,Frozen
Coral Bay,Ocean
Eastmere,Temperate
Coldwind,Tundra
Sandscar,Desert
Dustfall,Dry
Willowshade,Humid
Seastone,Ocean
Winter's Breath,Frozen
Rosewood,Temperate
Frostfield,Tundra
Brightsand,Desert
Saltflat,Dry
Moonfen,Humid
Iceglade,Frozen
Suncrest Bay,Ocean
Pinehaven,Temperate
Snowguard,Tundra
Flamecrest,Desert
Redstone,Dry
Mistglen,Humid
Frostwhisper,Frozen
Tidecall,Ocean
Everdale,Temperate
Frostpine,Tundra
Sunshadow,Desert
Dry Gulch,Dry
Shadevale,Humid
Winterhaven,Frozen
Saltwind,Ocean
Greenfield,Temperate
Icewatch,Tundra
Dunelight,Desert
Ironrock,Dry
Dewspring,Humid
Coldfang,Frozen
Pearlshall,Ocean
Oakheart,Temperate
Snowpeak,Tundra
Emberdune,Desert
Red Mesa,Dry
Marshlight,Humid
Winterfell,Frozen
Wavebreak,Ocean
Hillcrest,Temperate
Frostbite,Tundra
Suncross,Desert
Bonefield,Dry
Rainshade,Humid
Icewater,Frozen
Blue Reach,Ocean
Grassmere,Temperate
Snowhollow,Tundra
Goldrift,Desert
Sandharbor,Dry
Shadowfen,Humid
Glacierfall,Frozen
Deep Tide,Ocean
Brightvale,Temperate
Frostmoon,Tundra
Heatwave,Desert
Ashridge,Dry
Fern Hollow,Humid
Whitewater,Frozen
Drift Bay,Ocean
Sunwood,Temperate
Iceshard,Tundra
Duneveil,Desert
Stoneforge,Dry
Waterleaf,Humid
Frosthelm,Frozen
Coralsea,Ocean
Mistyvale,Temperate
Snowcliff,Tundra
Firelight,Desert
Dustbowl,Dry
Gloomfen,Humid
Icebreaker,Frozen
Oceanreach,Ocean
Willowmere,Temperate
Frosthill,Tundra
Scorchtide,Desert
Ironbark,Dry
Moonglade,Humid
Snowfall,Frozen
Saltspire,Ocean
Rosevale,Temperate
Coldstone,Tundra
Sunrock,Desert
Windscar,Dry
Lakeside,Humid
Winterwatch,Frozen
Brightshore,Ocean
Summerfield,Temperate
Icereach,Tundra
Sunstrike,Desert
Dustvale,Dry
Fenwatch,Humid
Frozenmere,Frozen
Bluehaven,Ocean
Greenshadow,Temperate
Snowridge,Tundra
Sandfire,Desert
Deadwood,Dry
Marshshade,Humid
Icecrown,Frozen
Coral Reach,Ocean
Elmwood,Temperate
Froststorm,Tundra
Sandspike,Desert
Burntvale,Dry
Riverglade,Humid
Icereef,Frozen
Wavehaven,Ocean
Springfield,Temperate
Winterfall,Tundra
Sunrift,Desert
Stoneplain,Dry
Mistfall,Humid
Icewind,Frozen
Bayfall,Ocean
Woodvale,Temperate
Frostlake,Tundra
Sunscar,Desert
Drywind,Dry
