RegionId,Area,AvgHeight,MinHeight,MaxHeight,NearSea,AvgHumidity,Type,CentroidX,CentroidY,CentroidZ,level,Name
1,6580000,3607,2585,4553,0,72,Tundra,40600,40700,3883,2,Icebound
2,3600000,1384,1067,1852,0,115,Humid,47000,700,1292,3,Greenwood
3,3600000,1923,1587,2123,0,180,Humid,23000,55800,1947,4,Whisperwind
4,3780000,4194,3113,4547,0,2,Desert,40100,41900,4121,5,Sunfire
5,3790000,4396,3601,4708,1,170,Tundra,58100,38800,4489,1,Coldspire
6,4280000,1817,16,2204,1,32,Ocean,28600,34000,1965,2,Azure Depths
7,3620000,3325,2877,3644,0,170,Tundra,43200,37200,3382,3,Whitehold
8,3640000,2070,1641,2322,1,179,Humid,32700,30000,2114,4,Mistwood
9,3650000,4651,2989,5491,1,175,Tundra,53100,49800,4736,5,Northwind
10,3640000,4286,3104,5045,1,0,Desert,58900,42100,4300,1,Dustreach
11,3620000,2432,1906,2691,0,176,Humid,29400,56300,1938,2,Verdant
12,3650000,1157,431,1777,0,20,Temperate,36900,14100,960,3,Highgarden
13,3600000,2040,1659,2585,0,123,Humid,49800,9800,1968,4,Marshsong
14,4050000,3322,2805,3920,0,21,Temperate,59000,9000,3148,5,Springvale
15,3750000,1848,15,2470,1,14,Ocean,25600,58900,2192,2,Stormtide
16,3600000,210,146,287,1,37,Temperate,22400,15900,195,2,Emberfall
17,4220000,3333,2411,3690,0,37,Temperate,54700,5800,3382,3,Summergrove
18,3600000,2089,1766,2535,0,18,Temperate,34300,25600,2106,4,Greendale
19,3600000,953,661,1356,0,20,Temperate,18300,39600,972,5,Meadowbrook
20,4540000,3677,2617,4322,0,27,Temperate,55700,27900,3527,1,Eastmere
21,3600000,183,127,258,0,32,Temperate,14800,33000,190,2,Rosewood
22,3760000,3271,2447,3846,0,15,Temperate,48900,21400,3381,3,Pinehaven
23,5290000,278,1,961,1,104,Ocean,10700,38500,90,1,Deepwell
24,5390000,2094,1622,2571,0,17,Temperate,25900,41000,2015,5,Everdale
25,3610000,663,6,1050,1,38,Ocean,12800,45100,660,1,Wavecrest
26,3600000,142,1,275,1,46,Ocean,17300,17600,207,1,Bluewater
27,3810000,5071,3914,5607,0,170,Tundra,52600,33400,5153,3,Frostgate
28,3640000,3263,2169,4186,0,177,Humid,42700,22500,3330,4,Rainvale
29,3620000,5227,4566,5539,0,175,Frozen,56100,31000,5467,5,Frostmere
30,3630000,3351,2503,3760,0,169,Tundra,42100,47000,3293,1,Snowdrift
31,3640000,4249,3283,5008,0,4,Desert,59200,18400,4201,2,Sunset Dunes
32,4490000,4297,3713,4641,0,27,Temperate,45900,42100,4032,3,Greenfield
33,3600000,701,279,1757,0,11,Dry,20200,53200,595,4,Silver Basin
34,3620000,3026,2319,3219,0,15,Temperate,43900,11900,3012,5,Oakheart
35,3600000,1573,21,2365,1,15,Temperate,28700,39700,905,1,Hillcrest
36,3620000,5818,4541,6184,0,180,Frozen,48000,32900,6161,2,Crystal Hollow
37,3660000,1275,1088,1637,0,27,Temperate,33300,17500,1197,3,Grassmere
38,3850000,4004,3010,4344,0,3,Desert,47200,40500,4050,4,Sandstone
39,3620000,4130,3535,4897,0,178,Tundra,40700,51100,4033,5,Coldwind
40,3600000,332,229,488,0,33,Temperate,11800,54100,342,1,Brightvale
41,3620000,1155,943,1465,0,36,Temperate,14300,43900,1133,2,Sunwood
42,3610000,1394,1094,2003,0,127,Humid,47100,2300,1400,3,River's Edge
43,3650000,2927,2282,3224,0,21,Temperate,45500,12200,3021,4,Mistyvale
44,3660000,3783,2785,4217,0,175,Tundra,54700,21000,3961,5,Frostfield
45,3640000,1772,184,2270,1,13,Dry,30100,30900,2144,1,Redridge
46,3720000,2991,2236,3361,0,3,Desert,37700,37600,3191,2,Goldshore
47,3610000,5101,4225,5481,0,172,Frozen,53300,35300,4391,3,Snowfield
48,4230000,4710,4135,5263,1,26,Frozen,54500,55300,4618,4,Icewrack
49,4420000,4519,3337,5138,0,34,Temperate,39800,55000,4646,5,Willowmere
50,3610000,2308,1752,2554,0,136,Humid,50500,4900,2448,1,Willowshade
51,3620000,1476,1139,1633,0,10,Dry,32600,21500,1577,2,Stonewatch
52,3830000,3972,3014,4500,0,167,Tundra,44800,45800,4105,3,Snowguard
53,3600000,2119,1438,2480,1,1,Desert,32800,32000,2071,4,Aridwind
54,3620000,88,1,277,1,48,Ocean,5700,54500,84,2,Coral Bay
55,4280000,150,93,270,0,69,Humid,7500,57900,165,1,Moonfen
56,3600000,324,123,566,0,15,Temperate,18200,56600,308,2,Rosevale
57,3720000,774,3,1555,1,40,Ocean,20800,33300,1348,2,Seastone
58,3600000,1944,1707,2417,0,16,Temperate,25300,53900,1906,4,Summerfield
59,3620000,4507,3294,5202,0,172,Tundra,46700,45600,4411,5,Frostpine
60,3600000,130,2,306,1,44,Ocean,14100,25500,140,2,Suncrest Bay
61,3630000,3228,2279,4327,1,156,Humid,40700,28300,2345,2,Mistglen
62,3610000,3830,2915,4412,0,4,Desert,48600,13400,4275,3,Sunspire
63,3600000,3641,2840,4314,0,176,Tundra,45600,35300,3731,4,Icewatch
64,3600000,260,123,466,0,43,Humid,37700,600,286,5,Shadevale
65,3600000,46,1,124,1,53,Ocean,25600,10100,66,1,Tidecall
66,3610000,3803,1767,4334,1,180,Humid,41200,31100,3321,2,Dewspring
67,3660000,3883,2965,4725,0,175,Tundra,52000,26600,3849,3,Snowpeak
68,3600000,161,105,219,0,28,Temperate,16600,22600,165,4,Greenshadow
69,4090000,3657,2920,4011,0,9,Dry,58800,22300,3721,5,Ironfield
70,4100000,4477,4073,4706,0,17,Frozen,51800,48300,4533,1,Stormpeak
71,3600000,439,3,677,1,31,Ocean,14500,51000,499,1,Saltwind
72,3810000,1869,1506,2143,0,13,Dry,30500,29300,1760,3,Cinder Flats
73,3700000,3827,2723,4819,0,166,Tundra,46800,47400,4033,4,Frostbite
74,4590000,641,285,1587,0,58,Humid,35300,13300,448,5,Marshlight
75,3630000,4347,3755,4659,0,3,Desert,30000,45700,4253,1,Sandscar
76,3710000,4909,3946,5772,1,6,Dry,42900,29400,4903,2,Burning Plains
77,3600000,248,217,308,1,45,Humid,50000,57700,280,3,Rainshade
78,3820000,1223,1050,1688,0,29,Temperate,17400,46500,1209,4,Elmwood
79,3690000,5799,4488,6206,0,174,Frozen,46600,28100,5974,5,Icefall
80,3690000,5243,4083,5794,0,169,Frozen,59000,45500,5391,1,Glacierwood
81,3610000,3863,3010,4163,0,172,Tundra,58000,19700,3860,2,Snowhollow
82,4630000,6089,5300,6516,0,52,Frozen,44300,27200,6150,3,Winter's Breath
83,3610000,63,1,171,1,44,Ocean,12000,34900,16,1,Pearlshall
84,3610000,3599,2821,3941,0,167,Tundra,45300,49200,3428,5,Frostmoon
85,3610000,1929,1790,2148,0,18,Temperate,37600,23100,1926,1,Springfield
86,3600000,1869,1670,2189,0,176,Humid,38000,21400,1821,2,Shadowfen
87,3830000,3991,2051,4621,1,7,Dry,44200,50600,4148,3,Ashland
88,4320000,1869,6,2798,1,56,Ocean,45800,16500,1789,1,Wavebreak
89,6280000,3023,10,4234,1,36,Ocean,56600,13300,2741,1,Blue Reach
90,6300000,94,1,294,1,17,Ocean,12300,31400,88,2,Deep Tide
91,3670000,1531,1271,1650,0,26,Temperate,28400,19400,1560,2,Woodvale
92,6670000,4499,2672,5624,1,76,Tundra,44200,31400,4398,3,Iceshard
93,3630000,4920,3853,5214,0,172,Tundra,57400,15400,4820,4,Snowcliff
94,3890000,3084,2467,3901,0,26,Temperate,47100,12800,3238,5,Cedarvale
95,3600000,139,86,272,0,31,Temperate,13900,31600,119,1,Leafshade
96,3630000,1250,440,1839,0,24,Temperate,30300,16900,1273,2,Greenridge
97,3600000,3879,3218,4126,0,177,Tundra,58500,20900,3394,3,Frosthill
98,3600000,675,489,884,0,39,Temperate,37900,5800,641,4,Maplebrook
99,3600000,163,1,349,1,52,Ocean,8400,48900,174,2,Drift Bay
100,5560000,3616,2982,3915,0,67,Tundra,51300,21800,3697,1,Coldstone
101,3640000,3793,3157,4055,0,4,Desert,52100,20500,3873,2,Brightsand
102,3700000,4220,3516,4706,0,11,Dry,44100,42900,4291,3,Dustfall
103,3840000,653,5,846,1,54,Ocean,36500,6800,603,1,Coralsea
104,3610000,1559,710,1905,0,30,Temperate,36900,12300,1649,5,Summerglade
105,3610000,839,738,949,0,41,Humid,12600,39300,840,1,Fern Hollow
106,3600000,397,207,678,0,16,Temperate,14600,57500,404,2,Greenhaven
107,3770000,4116,1544,4829,1,13,Dry,57100,41700,1741,3,Saltflat
108,3630000,2632,2064,3219,0,7,Dry,53200,6600,2388,4,Redstone
109,4530000,2645,2111,2966,0,35,Temperate,31700,55800,2629,5,Brightwood
110,3600000,742,17,968,1,48,Ocean,11800,40000,877,1,Oceanreach
111,3660000,1660,897,1985,0,10,Dry,26100,35300,1594,2,Dry Gulch
112,3790000,5341,4541,5684,0,171,Frozen,53600,29900,5480,3,Iceglade
113,3600000,270,185,378,0,22,Temperate,13200,58100,248,4,Greencrest
114,3740000,4232,3375,4562,1,3,Desert,48000,52600,4408,5,Flamecrest
115,3800000,2757,2237,2961,0,19,Temperate,45800,14600,2721,1,Oakshade
116,3610000,5173,4685,5451,0,126,Frozen,56500,50600,5248,2,Frostwhisper
117,3670000,232,184,303,1,42,Humid,46300,59200,200,3,Waterleaf
118,3960000,5347,4670,5732,0,16,Frozen,52300,28200,5674,4,Winterhaven
119,3650000,2969,225,3753,1,160,Humid,40700,58400,1855,5,Gloomfen
120,3610000,2674,2109,3099,0,180,Humid,59200,4700,2656,1,Moonglade
121,3600000,3108,2406,3522,0,180,Humid,55500,4200,3098,2,Lakeside
122,5680000,4250,2950,5261,0,67,Tundra,37300,54200,4880,3,Icereach
123,3600000,295,163,632,0,37,Temperate,34200,7900,188,4,Pinebrook
124,3690000,1763,1344,2091,0,9,Dry,28500,28300,1739,5,Ironrock
125,3610000,2459,2235,2637,0,151,Humid,24900,46900,2491,1,Fenwatch
126,3730000,5551,4331,5939,0,0,Frozen,48600,28600,5599,2,Coldfang
127,3640000,3924,3198,4171,0,177,Tundra,38100,46800,3995,3,Snowridge
128,6740000,4221,3294,4597,0,1,Desert,33400,40800,4341,4,Sunshadow
129,3600000,676,462,826,0,28,Temperate,39600,3000,641,5,Elmvale
130,3740000,3328,2608,3671,0,173,Tundra,54600,25900,3425,1,Froststorm
131,3600000,1394,704,2164,0,25,Temperate,17700,41000,1667,2,Ashmere
132,3650000,116,1,204,1,40,Ocean,7800,55800,130,2,Saltspire
133,3670000,4680,3818,5128,0,170,Tundra,57100,36900,4647,4,Winterfall
134,3620000,2542,2265,2778,0,0,Desert,22900,48000,2553,5,Dunelight
135,3830000,2580,2018,3029,0,146,Humid,55100,10100,2756,1,Marshshade
136,5090000,1812,1360,2054,0,64,Humid,30400,26600,1876,2,Riverglade
137,3620000,5047,4017,5305,0,6,Frozen,57800,16700,5065,3,Winterfell
138,3610000,588,396,969,0,36,Temperate,38300,4000,615,4,Summerdale
139,3750000,4447,3010,4799,1,3,Desert,46400,51100,4598,5,Emberdune
140,3600000,1951,5,2498,1,22,Ocean,45100,18600,2366,1,Brightshore
